"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","837","shouldDisplayCorrectTextAndBeVisible()","","Sun Dec 07 08:59:27 UTC 2025","passed","Sun Dec 07 08:59:27 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.ClearCompletedButtonTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$ClearCompletedButtonTests","shouldDisplayCorrectTextAndBeVisible"
"This test attempts to add a TODO item and then delete that TODO item. Afterwards, the TODO item is verified to be hidden in the page.","3397","Should delete TODO items","","Sun Dec 07 08:59:23 UTC 2025","passed","Sun Dec 07 08:59:27 UTC 2025","","com.neudesic.qa.AppTest","com.neudesic.qa.AppTest","shouldCheckDeleteTodo"
"This test attempts to add a TODO item and then verify that the added item is saved and visible on the page.","3310","Should add TODO items","","Sun Dec 07 08:59:23 UTC 2025","passed","Sun Dec 07 08:59:26 UTC 2025","","com.neudesic.qa.AppTest","com.neudesic.qa.AppTest","shouldCheckAddTodo"
"","631","shouldRemoveItemIfEmptyTextEntered()","","Sun Dec 07 08:59:27 UTC 2025","passed","Sun Dec 07 08:59:28 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.EditingTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$EditingTests","shouldRemoveItemIfEmptyTextEntered"
"","3224","shouldHighlightCurrentlyAppliedFilter()","","Sun Dec 07 08:59:18 UTC 2025","passed","Sun Dec 07 08:59:22 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.RoutingTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$RoutingTests","shouldHighlightCurrentlyAppliedFilter"
"","3343","shouldHideOtherControlsWhenEditing()","","Sun Dec 07 08:59:21 UTC 2025","passed","Sun Dec 07 08:59:24 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.EditingTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$EditingTests","shouldHideOtherControlsWhenEditing"
"","705","shouldAppendNewItemsToBottom()","","Sun Dec 07 08:59:23 UTC 2025","passed","Sun Dec 07 08:59:24 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.NewTodoTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$NewTodoTests","shouldAppendNewItemsToBottom"
"","3481","shouldRemoveCompletedItemsWhenClicked()","","Sun Dec 07 08:59:19 UTC 2025","passed","Sun Dec 07 08:59:23 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.ClearCompletedButtonTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$ClearCompletedButtonTests","shouldRemoveCompletedItemsWhenClicked"
"","817","shouldAllowMarkingItemsAsComplete()","","Sun Dec 07 08:59:23 UTC 2025","passed","Sun Dec 07 08:59:24 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.ItemTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$ItemTests","shouldAllowMarkingItemsAsComplete"
"","3704","shouldAllowDisplayingAllItems()","","Sun Dec 07 08:59:21 UTC 2025","passed","Sun Dec 07 08:59:25 UTC 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.RoutingTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$RoutingTests","shouldAllowDisplayingAllItems"
